feature,importance
num__slope_angle_deg,0.12811402863064916
num__soil_moisture_pct,0.12501283744310418
num__rainfall_24h_mm,0.11892272876346419
num__rainfall_7d_mm,0.11658584707595591
num__distance_to_road_m,0.11564230866545451
num__distance_to_drainage_m,0.11134978059012243
num__ndvi,0.10881976145719248
num__curvature,0.07728348249594225
num__elevation_m,0.05956360569193617
cat__soil_type_clayey_soil,0.018353553290068422
cat__soil_type_colluvial_soil,0.012615611886239537
cat__soil_type_residual_soil,0.002518140242512693
cat__land_use_class_vegetation,0.0023752865141238285
cat__land_use_class_exposed_soil,0.0014200041351124586
cat__land_use_class_sparse_vegetation,0.0010807752555422874
num__aspect_deg,0.00034224786257948083
cat__lithology_weathered_rock,0.0
