slope_code,event_code,event_date,municipality,neighborhood,elevation_m,slope_angle_deg,aspect_deg,curvature,ndvi,land_use_class,distance_to_drainage_m,distance_to_road_m,soil_type,lithology,rainfall_24h_mm,rainfall_7d_mm,soil_moisture_pct,instability_label,susceptibility_score,susceptibility_class,longitude,latitude
UBATUBA_PT_001,UBATUBA_2023_02_19_PEREQUE_ACU,2023-02-19,Ubatuba,Perequê-Açu,75.7,38.4,90.0,-0.09,0.292,exposed_soil,51.75,70.0,clayey_soil,weathered_rock,94.5,273.5,72.36,1,0.9,Very High,-45.66540892575259,-23.78475521153513
UBATUBA_PT_002,UBATUBA_2023_02_19_PEREQUE_ACU,2023-02-19,Ubatuba,Perequê-Açu,77.2,38.77,108.0,-0.0887,0.286,exposed_soil,50.87,68.84,clayey_soil,weathered_rock,95.11,274.76,72.98,1,0.911,Very High,-45.665411259362735,-23.784741246840163
UBATUBA_PT_003,UBATUBA_2023_02_19_PEREQUE_ACU,2023-02-19,Ubatuba,Perequê-Açu,78.06,38.67,126.0,-0.0879,0.288,exposed_soil,51.11,69.16,clayey_soil,weathered_rock,94.94,274.42,72.81,1,0.908,Very High,-45.66541816381844,-23.784728626294175
UBATUBA_PT_004,UBATUBA_2023_02_19_PEREQUE_ACU,2023-02-19,Ubatuba,Perequê-Açu,75.52,38.26,144.0,-0.0887,0.295,exposed_soil,52.07,70.42,clayey_soil,weathered_rock,94.28,273.04,72.13,1,0.896,Very High,-45.66542896819256,-23.78471859019002
UBATUBA_PT_005,UBATUBA_2023_02_19_PEREQUE_ACU,2023-02-19,Ubatuba,Perequê-Açu,76.03,37.89,162.0,-0.0903,0.301,exposed_soil,52.95,71.58,clayey_soil,weathered_rock,93.67,271.77,71.51,1,0.885,Very High,-45.66544261744673,-23.784712118544412
UBATUBA_PT_006,UBATUBA_2023_02_19_PEREQUE_ACU,2023-02-19,Ubatuba,Perequê-Açu,76.8,37.72,180.0,-0.091,0.303,exposed_soil,53.35,72.1,clayey_soil,weathered_rock,93.4,271.2,71.23,1,0.88,Very High,-45.66545777012003,-23.784709840355955
UBATUBA_PT_007,UBATUBA_2023_02_19_PEREQUE_ACU,2023-02-19,Ubatuba,Perequê-Açu,75.03,37.89,198.0,-0.0903,0.301,exposed_soil,52.95,71.58,clayey_soil,weathered_rock,93.67,271.77,71.51,1,0.885,Very High,-45.66547294532149,-23.784711987811143
UBATUBA_PT_008,UBATUBA_2023_02_19_PEREQUE_ACU,2023-02-19,Ubatuba,Perequê-Açu,76.52,38.26,216.0,-0.0887,0.295,exposed_soil,52.07,70.42,clayey_soil,weathered_rock,94.28,273.04,72.13,1,0.896,Very High,-45.66548665986137,-23.78471834150057
UBATUBA_PT_009,UBATUBA_2023_02_19_PEREQUE_ACU,2023-02-19,Ubatuba,Perequê-Açu,78.06,38.67,234.0,-0.0879,0.288,exposed_soil,51.11,69.16,clayey_soil,weathered_rock,94.94,274.42,72.81,1,0.908,Very High,-45.66549756593417,-23.784728284018133
UBATUBA_PT_010,UBATUBA_2023_02_19_PEREQUE_ACU,2023-02-19,Ubatuba,Perequê-Açu,76.2,38.77,252.0,-0.0887,0.286,exposed_soil,50.87,68.84,clayey_soil,weathered_rock,95.11,274.76,72.98,1,0.911,Very High,-45.66550459857081,-23.784740844485764
UBATUBA_PT_011,UBATUBA_2023_02_19_PEREQUE_ACU,2023-02-19,Ubatuba,Perequê-Açu,76.7,38.4,270.0,-0.09,0.292,exposed_soil,51.75,70.0,clayey_soil,weathered_rock,94.5,273.5,72.36,1,0.9,Very High,-45.66550707424685,-23.78475478844926
UBATUBA_PT_012,UBATUBA_2023_02_19_PEREQUE_ACU,2023-02-19,Ubatuba,Perequê-Açu,76.53,37.52,288.0,-0.0898,0.307,exposed_soil,53.83,72.73,clayey_soil,weathered_rock,93.07,270.51,70.89,1,0.874,Very High,-45.665504740646774,-23.78476875314543
UBATUBA_PT_013,UBATUBA_2023_02_19_PEREQUE_ACU,2023-02-19,Ubatuba,Perequê-Açu,72.86,36.26,306.0,-0.0866,0.327,exposed_soil,56.79,76.62,clayey_soil,weathered_rock,91.03,266.25,68.81,1,0.837,Very High,-45.66549783619752,-23.784781373695093
UBATUBA_PT_014,UBATUBA_2023_02_19_PEREQUE_ACU,2023-02-19,Ubatuba,Perequê-Açu,72.16,34.97,324.0,-0.0808,0.348,exposed_soil,59.83,80.6,colluvial_soil,weathered_rock,88.94,261.88,66.66,1,0.799,High,-45.66548703182374,-23.784791409803983
UBATUBA_PT_015,UBATUBA_2023_02_19_PEREQUE_ACU,2023-02-19,Ubatuba,Perequê-Açu,71.89,34.01,342.0,-0.0753,0.363,exposed_soil,62.07,83.55,colluvial_soil,weathered_rock,87.41,258.67,65.08,1,0.771,High,-45.6654733825637,-23.78479788145359
